acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.02,-0.25,0.9,8.89,4.95,-1.66
0.03,-0.26,0.89,8.49,6.12,-1.11
0.02,-0.24,0.89,8.6,6.37,-1.27
0.01,-0.25,0.89,8.89,4.95,-0.79
0.01,-0.24,0.86,8.81,-3.45,0.44
0.02,-0.24,0.86,8.03,-3.6,0.52
0.02,-0.24,0.87,6.56,-1.57,0.29
0.03,-0.24,0.88,6.32,0.47,-0.17
-0.01,-0.19,0.8,5.51,-3.94,3.79
-0.01,-0.18,0.8,1.91,-3.53,4.85
0.01,-0.18,0.81,-0.73,-3.22,5.53
0.03,-0.2,0.82,-2.85,-1.92,6.2
0.05,-0.2,0.85,-4.56,0.79,1.36
0.04,-0.21,0.86,-4.14,-1.05,2.4
0.05,-0.2,0.84,-6.35,1.59,0.66
0.05,-0.2,0.84,-9.63,1.31,0.27
0.02,-0.21,0.85,-10.17,10.44,4.64
0.0,-0.21,0.85,-9.89,10.44,4.5
0.01,-0.22,0.86,-8.87,8.17,3.59
0.02,-0.22,0.87,-6.69,7.8,2.55
-0.02,-0.22,0.84,-10.41,-0.11,-3.71
-0.01,-0.23,0.84,-11.37,-3.39,-4.98
-0.02,-0.24,0.86,-12.14,-4.96,-5.69
-0.02,-0.25,0.87,-11.76,-5.57,-5.76
-0.01,-0.28,0.92,-9.25,-1.18,-1.02
-0.01,-0.27,0.92,-7.97,-1.04,-1.18
-0.01,-0.28,0.93,-6.73,-2.26,-0.43
0.0,-0.28,0.92,-5.48,-2.67,-0.49
0.03,-0.25,0.89,-0.75,2.17,-4.15
0.04,-0.25,0.89,-1.24,2.0,-4.53
0.04,-0.24,0.89,-1.76,2.85,-6.37
0.04,-0.25,0.89,-1.56,3.27,-7.18
0.0,-0.23,0.84,-0.47,4.52,-3.92
-0.01,-0.22,0.85,-1.07,4.0,-2.78
-0.03,-0.22,0.84,-1.5,2.64,-1.42
-0.03,-0.22,0.84,-1.57,0.85,0.67
0.02,-0.25,0.86,0.87,0.6,0.38
0.01,-0.25,0.85,0.81,0.15,0.35
0.0,-0.26,0.84,0.98,-0.69,1.15
0.02,-0.24,0.84,0.56,-0.85,1.71
0.1,-0.25,0.89,-1.5,0.49,-2.87
0.09,-0.24,0.87,-0.72,2.6,-3.97
0.09,-0.24,0.89,-0.58,3.83,-4.7
0.07,-0.23,0.88,-0.69,5.77,-5.42
-0.03,-0.26,0.87,-1.11,3.04,-5.13
-0.04,-0.25,0.86,-1.44,2.64,-4.32
-0.04,-0.25,0.86,-1.63,1.98,-3.18
-0.03,-0.24,0.86,-1.8,1.5,-2.12
-0.02,-0.25,0.86,-0.63,0.55,-2.49
-0.03,-0.24,0.87,-0.85,0.06,-1.89
-0.03,-0.24,0.85,-1.1,-0.27,-2.29
-0.02,-0.25,0.87,-1.16,-0.53,-2.15
-0.0,-0.24,0.85,-2.66,0.63,0.55
-0.0,-0.24,0.86,-3.02,0.98,0.21
0.01,-0.24,0.86,-3.11,0.93,0.32
0.01,-0.24,0.86,-2.99,0.73,0.63
0.0,-0.25,0.87,-2.08,1.65,0.95
0.01,-0.25,0.86,-2.67,1.3,0.82
0.01,-0.25,0.86,-2.81,1.36,0.64
0.02,-0.25,0.86,-2.98,1.4,0.38
0.01,-0.24,0.86,-3.02,0.7,-0.82
0.01,-0.24,0.86,-3.11,0.26,-0.69
0.02,-0.24,0.86,-3.37,-0.32,-0.69
0.03,-0.24,0.86,-4.05,-0.66,-0.98
0.01,-0.25,0.88,-0.93,3.04,-1.02
-0.0,-0.25,0.87,-0.61,2.21,-1.15
-0.0,-0.24,0.87,-0.67,1.62,-1.02
-0.0,-0.25,0.86,-0.67,1.53,-0.58
-0.01,-0.25,0.87,-0.24,0.87,-1.01
-0.01,-0.26,0.87,0.31,0.46,-0.9
-0.01,-0.25,0.86,0.64,-0.53,-0.7
-0.02,-0.24,0.85,0.6,-1.24,-0.52
-0.02,-0.25,0.86,-2.09,-0.52,0.7
-0.02,-0.25,0.85,-2.02,-1.74,1.05
-0.02,-0.25,0.86,-2.2,-2.52,1.4
-0.01,-0.24,0.87,-2.2,-2.08,1.16
0.01,-0.25,0.86,-0.4,-1.45,-0.11
0.01,-0.24,0.87,-0.18,-0.73,0.12
0.0,-0.24,0.86,-0.53,-0.41,0.34
0.01,-0.24,0.86,-0.47,0.37,0.4
-0.01,-0.25,0.86,-0.92,-0.63,0.52
