acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.03,-0.3,0.86,-4.24,0.58,-0.15
0.04,-0.31,0.85,-3.8,1.68,-0.2
0.04,-0.31,0.86,-2.72,2.37,0.09
0.03,-0.31,0.86,-2.21,2.41,-0.14
0.0,-0.29,0.84,-3.97,1.24,-1.98
0.0,-0.29,0.85,-4.32,0.72,-1.48
-0.01,-0.29,0.86,-4.75,-0.64,-0.98
0.0,-0.3,0.87,-5.42,-2.15,-0.47
0.03,-0.3,0.87,-3.05,-2.43,-0.5
0.04,-0.3,0.87,-3.25,-2.52,-0.85
0.03,-0.3,0.87,-2.92,-1.83,-0.23
0.04,-0.31,0.87,-2.14,-1.73,-0.32
0.02,-0.3,0.87,0.75,3.54,-0.15
0.02,-0.29,0.88,0.76,3.48,0.23
0.02,-0.3,0.88,0.34,3.25,0.05
0.03,-0.3,0.87,0.29,2.34,-0.17
0.01,-0.29,0.85,-1.36,1.07,-0.67
0.01,-0.3,0.84,-1.51,-0.15,-1.11
0.02,-0.29,0.85,-1.98,-0.9,-1.3
0.02,-0.3,0.85,-1.8,-1.05,-0.99
0.02,-0.3,0.87,1.08,0.4,-0.93
0.03,-0.3,0.86,1.18,0.56,-0.67
0.03,-0.3,0.86,1.5,1.91,-0.46
0.03,-0.3,0.86,1.82,1.82,0.11
0.02,-0.29,0.86,0.95,3.85,-0.82
0.02,-0.29,0.86,0.55,3.15,-1.4
0.02,-0.3,0.85,0.73,1.56,-2.08
0.02,-0.29,0.86,0.38,0.43,-2.64
0.03,-0.29,0.86,0.38,-0.35,-2.0
0.02,-0.29,0.85,0.37,-0.49,-1.8
0.02,-0.29,0.84,0.26,-1.31,-1.42
0.02,-0.28,0.83,-0.11,-1.83,-1.28
0.02,-0.28,0.85,-2.67,-0.89,-0.35
0.02,-0.29,0.85,-2.92,-0.09,-0.18
0.03,-0.3,0.87,-2.37,0.32,-0.23
0.03,-0.3,0.86,-2.18,0.72,-0.24
0.04,-0.29,0.86,-0.4,0.46,-1.86
0.03,-0.29,0.85,-0.79,0.43,-1.89
0.03,-0.29,0.85,-0.52,1.24,-2.44
0.03,-0.29,0.86,-1.22,0.6,-2.79
0.02,-0.29,0.85,-4.17,0.87,-1.63
0.01,-0.3,0.85,-3.65,0.78,-2.06
0.01,-0.31,0.84,-2.72,0.38,-2.23
0.01,-0.3,0.86,-2.64,-0.78,-2.56
0.02,-0.3,0.86,-5.36,-1.74,-2.78
0.02,-0.3,0.87,-5.36,-0.98,-2.66
0.02,-0.3,0.87,-5.36,-1.4,-3.18
0.04,-0.3,0.87,-5.18,0.21,-2.4
0.02,-0.31,0.88,-2.24,3.01,-0.53
0.02,-0.3,0.87,-1.25,3.48,0.37
0.01,-0.31,0.87,-0.69,3.77,0.9
0.0,-0.3,0.87,-0.63,2.46,0.64
0.01,-0.3,0.85,-0.35,-0.26,0.53
0.02,-0.3,0.87,0.18,0.4,1.15
0.0,-0.3,0.87,0.15,-0.27,1.21
0.0,-0.29,0.86,-0.26,-1.85,1.02
0.03,-0.29,0.85,-0.9,-3.95,1.07
0.02,-0.28,0.85,-1.16,-4.73,0.72
0.03,-0.29,0.83,-1.6,-5.54,0.81
0.03,-0.28,0.84,-2.0,-5.65,1.16
0.06,-0.3,0.87,-2.32,-1.21,-0.56
0.06,-0.3,0.86,-1.91,0.17,-0.63
0.05,-0.31,0.86,-1.77,1.33,-0.58
0.05,-0.29,0.86,-2.24,1.89,-0.5
0.03,-0.3,0.86,-3.16,3.08,-0.52
0.03,-0.3,0.85,-3.48,2.64,-0.99
0.03,-0.3,0.85,-3.56,1.95,-0.93
0.02,-0.3,0.85,-3.39,1.13,-1.36
0.02,-0.31,0.86,-2.85,-0.26,-0.27
0.02,-0.32,0.87,-2.03,-0.79,-0.43
0.02,-0.3,0.88,-1.62,-1.3,-0.44
0.03,-0.31,0.88,-1.45,-0.96,-0.26
0.03,-0.3,0.85,1.08,0.44,-0.02
0.03,-0.29,0.85,1.15,0.5,0.32
0.04,-0.29,0.84,0.81,0.46,0.35
0.03,-0.29,0.85,-0.09,0.05,0.23
0.03,-0.3,0.85,-1.18,0.14,0.72
0.03,-0.29,0.85,-1.33,-0.49,0.55
0.03,-0.29,0.85,-1.91,-1.19,0.72
0.03,-0.3,0.85,-1.89,-2.24,0.15
0.05,-0.3,0.85,-1.94,-0.46,-0.47
0.04,-0.3,0.85,-2.12,0.18,-0.81
0.03,-0.3,0.85,-2.23,-0.37,-0.93
0.02,-0.29,0.85,-2.14,0.06,-0.38
0.03,-0.3,0.87,-1.62,1.44,1.11
0.03,-0.31,0.87,-0.81,0.93,0.78
0.04,-0.3,0.86,-0.18,0.87,1.02
0.03,-0.3,0.86,0.27,0.55,1.05
0.02,-0.28,0.84,-2.05,-0.98,-0.14
0.02,-0.28,0.83,-2.81,-0.38,0.15
0.02,-0.29,0.83,-3.77,-0.26,0.64
0.02,-0.29,0.85,-4.41,-0.75,0.84
0.04,-0.31,0.87,-3.04,0.24,-0.61
0.04,-0.31,0.87,-2.32,0.84,-0.81
0.04,-0.3,0.86,-1.73,0.29,-0.98
0.03,-0.3,0.85,-1.45,0.09,-1.1
0.04,-0.3,0.86,-2.15,3.97,0.06
