acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.15,-0.06,0.89,-0.2,-0.63,1.92
0.15,-0.05,0.89,-0.84,-1.94,2.0
0.15,-0.06,0.89,-0.81,-2.82,1.73
0.15,-0.05,0.9,-1.3,-3.3,1.57
0.17,-0.06,0.89,-0.76,1.77,-0.29
0.16,-0.05,0.87,-1.3,0.81,-1.25
0.16,-0.05,0.89,-1.76,1.73,-1.27
0.15,-0.06,0.9,-1.85,1.07,-0.99
0.14,-0.05,0.88,-1.22,-0.85,-0.96
0.13,-0.06,0.89,-1.53,-2.6,-0.64
0.14,-0.05,0.87,-1.66,-2.93,-0.15
0.15,-0.06,0.87,-1.54,-3.25,0.21
0.16,-0.05,0.89,-2.35,-3.36,0.35
0.17,-0.04,0.88,-2.76,-3.65,-0.47
0.18,-0.04,0.88,-2.98,-2.76,-1.79
0.19,-0.05,0.9,-3.42,-0.35,-2.49
0.16,-0.04,0.88,-1.92,1.57,-1.88
0.16,-0.04,0.9,-2.63,2.14,-1.36
0.14,-0.05,0.89,-2.75,1.5,-0.72
0.15,-0.05,0.89,-2.09,0.21,-0.58
0.16,-0.05,0.89,-1.98,5.63,2.52
0.14,-0.06,0.9,-1.86,3.05,2.6
0.15,-0.06,0.89,-1.94,-0.05,2.32
0.15,-0.06,0.88,-2.2,-0.98,1.33
0.16,-0.05,0.88,-2.21,-1.08,1.22
0.16,-0.05,0.88,-2.81,-0.98,1.13
0.16,-0.05,0.88,-2.98,-1.04,1.15
0.16,-0.05,0.88,-3.04,-1.25,0.98
0.17,-0.06,0.89,-1.59,0.92,-0.72
0.17,-0.06,0.88,-1.42,2.0,-0.37
0.15,-0.05,0.89,-1.37,1.15,-0.06
0.15,-0.05,0.88,-1.62,-0.43,0.27
0.16,-0.06,0.89,-2.53,-5.19,-0.52
0.16,-0.05,0.88,-2.61,-3.21,-0.02
0.16,-0.06,0.88,-2.9,-1.4,0.14
0.15,-0.05,0.89,-2.81,-0.26,0.63
0.17,-0.06,0.89,-0.27,1.37,0.09
0.18,-0.05,0.88,-0.93,3.8,-0.21
0.17,-0.06,0.88,-1.4,4.89,0.06
0.16,-0.05,0.88,-1.91,4.67,0.03
0.14,-0.06,0.89,-2.64,-2.41,0.43
0.15,-0.05,0.89,-2.99,-4.21,0.06
0.17,-0.06,0.89,-2.98,-4.12,-0.09
0.17,-0.05,0.89,-3.22,-2.96,-0.06
0.16,-0.06,0.9,-0.64,-2.84,0.34
0.17,-0.06,0.91,-0.08,-2.46,-0.08
0.17,-0.07,0.9,0.14,-2.87,-0.4
0.18,-0.05,0.88,0.05,-1.92,-1.19
0.13,-0.07,0.87,-3.45,1.86,0.27
0.14,-0.06,0.88,-2.99,1.25,1.36
0.14,-0.06,0.89,-2.89,-0.5,1.92
0.14,-0.06,0.88,-2.72,-2.03,2.27
0.22,-0.06,0.91,-2.03,-1.45,0.41
0.19,-0.07,0.9,-0.9,-1.25,-0.56
